element	species	present	absent
ESE00018_s00006	Penicillium_camemberti	2	4
ESE00019_s00021	Penicillium_biforme	1	0
ESE00019_s00021	Penicillium_camemberti	1	5
ESE00019_s00021	Penicillium_salamii	12	10
ESE00019_s00022	Penicillium_roqueforti	4	35
ESE00019_s00022	Penicillium_salamii	9	13
ESE00019_s00033	Penicillium_biforme	1	0
ESE00019_s00033	Penicillium_camemberti	1	5
ESE00019_s00037	Penicillium_camemberti	1	5
ESE00019_SLR12	Penicillium_camemberti	1	5
ESE00019_SLR17	Penicillium_camemberti	1	5
ESE00019_SLR17	Penicillium_fuscoglaucum	1	4
ESE00019_SLR3	Penicillium_nalgiovense	2	29
ESE00019_SLR3	Penicillium_salamii	5	17
ESE00019_SLR4	Penicillium_camemberti	1	5
ESE00019_SLR6	Penicillium_camemberti	1	5
ESE00019_SLR8	Penicillium_biforme	1	0
ESE00019_SLR8	Penicillium_nalgiovense	23	8
ESE00019_SLR8	Penicillium_roqueforti	4	35
ESE00019_SLR8	Penicillium_salamii	12	10
ESE00019_SLR9	Penicillium_biforme	1	0
ESE00019_SLR9	Penicillium_nalgiovense	28	3
ESE00019_SLR9	Penicillium_roqueforti	4	35
ESE00019_SLR9	Penicillium_salamii	12	10
ESE00087_s00109	Penicillium_salamii	12	10
ESE00089_s00138	Penicillium_salamii	12	10
ESE00125_s00183	Penicillium_camemberti	2	4
ESE00126_s00214	Penicillium_salamii	12	10
ESE00139_s00245	Penicillium_camemberti	2	4
ESE00151_s00266	Penicillium_salamii	12	10
ESE00156_s00317	Penicillium_salamii	12	10
ESE00157_s00340	Penicillium_salamii	12	10
ESE00158_s00361	Penicillium_salamii	12	10
ESE00160_s00396	Penicillium_salamii	12	10
ESE00207_s00416	Penicillium_salamii	12	10
ESE00211_s00437	Penicillium_salamii	12	10
ESE00230_s00456	Penicillium_palitans	1	13
ESE00230_s00456	Penicillium_roqueforti	1	38
ESE00231_s00482	Penicillium_palitans	1	13
ESE00231_s00482	Penicillium_roqueforti	1	38
ESE00282_s00519	Penicillium_salamii	12	10
ESE00283_s00547	Penicillium_salamii	12	10
ESE00418_s00607	Penicillium_camemberti	2	4
ESE00418_s00607	Penicillium_salamii	12	10
ESE00418_s00613	Penicillium_solitum	1	10
ESE00418_SLR28	Penicillium_camemberti	1	5
ESE00418_SLR28	Penicillium_nalgiovense	14	17
ESE00418_SLR28	Penicillium_roqueforti	4	35
ESE00418_SLR28	Penicillium_salamii	12	10
ESE00418_SLR41	Penicillium_camemberti	1	5
ESE00418_SLR41	Penicillium_nalgiovense	28	3
ESE00418_SLR41	Penicillium_roqueforti	4	35
ESE00418_SLR41	Penicillium_salamii	12	10
ESE00553_s00638	Penicillium_camemberti	2	4
ESE00960_s00681	Penicillium_camemberti	2	4
ESE00960_s00693	Penicillium_salamii	12	10
ESE00993_s00753	Penicillium_salamii	12	10
ESE01261_s00804	Penicillium_biforme	1	0
ESE01261_s00804	Penicillium_camemberti	1	5
ESE01261_s00814	Penicillium_palitans	1	13
ESE01261_s00814	Penicillium_roqueforti	1	38
ESE01262_s00834	Penicillium_salamii	12	10
ESE01393_s00869	Penicillium_camemberti	2	4
ESE01417_s00945	Penicillium_camemberti	2	4
ESE01521_s01009	Penicillium_camemberti	2	4
ESE01522_s01035	Penicillium_salamii	12	10
ESE01527_s01054	Penicillium_camemberti	2	4
ESE01535_s01072	Penicillium_camemberti	2	4
ESE01543_s01090	Penicillium_salamii	12	10
ESE01543_s01094	Penicillium_camemberti	2	4
ESE01543_SLR54_2	Penicillium_camemberti	2	4
ESE01543_SLR54_2	Penicillium_salamii	9	13
ESE01543_SLR57	Penicillium_camemberti	2	4
ESE01564_s01113	Penicillium_camemberti	2	4
ESE01567_s01133	Penicillium_camemberti	2	4
ESE01567_s01143	Penicillium_salamii	12	10
ESE01587_s01161	Penicillium_camemberti	2	4
ESE01592_s01222	Penicillium_camemberti	2	4
ESE01594_s01244	Penicillium_salamii	12	10
ESE01617_s01276	Penicillium_camemberti	2	4
ESE01619_s01300	Penicillium_camemberti	2	4
ESE01623_s01314	Penicillium_camemberti	2	4
ESE01653_s01348	Penicillium_camemberti	2	4
ESE01696_s01387	Penicillium_camemberti	2	4
ESE01841_s01404	Penicillium_camemberti	2	4
ESE01892_s01423	Penicillium_camemberti	2	4
ESE01900_s01436	Penicillium_salamii	12	10
ESE02164_s01526	Penicillium_camemberti	2	4
ESE02164_s01532	Penicillium_salamii	12	10
ESE02184_s01550	Penicillium_salamii	12	10
ESE02190_s01571	Penicillium_camemberti	2	4
ESE02190_s01575	Penicillium_salamii	12	10
LCP05531_s01801	Penicillium_chrysogenum	3	84
LCP05531_s01807	Penicillium_salamii	12	10
LCP05531_s01808	Penicillium_salamii	12	10
LCP05531_SLR71	Penicillium_camemberti	2	4
LCP05531_SLR76	Penicillium_camemberti	1	5
LCP05531_SLR77	Penicillium_chrysogenum	4	83
LCP06093_s01882	Penicillium_biforme	1	0
LCP06093_s01882	Penicillium_nalgiovense	18	13
LCP06093_s01882	Penicillium_roqueforti	4	35
LCP06093_s01882	Penicillium_salamii	12	10
LCP06093_SLR79	Penicillium_biforme	1	0
LCP06093_SLR79	Penicillium_palitans	10	4
LCP06093_SLR81	Penicillium_fuscoglaucum	1	4
LCP06093_SLR83	Penicillium_biforme	1	0
LCP06093_SLR86	Penicillium_fuscoglaucum	2	3
LCP06093_SLR86	Penicillium_roqueforti	1	38
LCP06093_SLR86	Penicillium_solitum	1	10
LCP5496_s01742	Penicillium_camemberti	2	4
LCP5529T_s01783	Penicillium_salamii	12	10
LCP5639_s01851	Penicillium_salamii	12	10
LCP6622_s01953	Penicillium_biforme	1	0
LCP6701_s02040	Penicillium_salamii	12	10
LMA421_s02055	Penicillium_fuscoglaucum	1	4
LMA421_s02063	Penicillium_salamii	12	10
UBOCC-A-112050_s02145	Penicillium_salamii	12	10
UBOCC-A-112053_s02172	Penicillium_salamii	12	10
UBOCC-A-112059_s02186	Penicillium_camemberti	2	4
UBOCC-A-116003_s02281	Penicillium_camemberti	2	4
